MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
630.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
637.200   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
640.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
646.500   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
650.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
655.900   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
660.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
665.200   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
670.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
674.700   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
680.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
684.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
690.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
693.500   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
700.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
702.900   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
710.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
712.400   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
720.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
721.900   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
730.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
731.400   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
740.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
740.800   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
750.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
750.200   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
759.500   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
760.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
768.900   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
770.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
778.300   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
780.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
787.800   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
790.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
797.400   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
800.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
806.900   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
810.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
816.400   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
820.000   ,,,,,,,,,,,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
