Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
614.15,614.14,28.79,47.15,31.75,25.5,-5.89,-8.33,-16.66,128.96,225
623.18,623.17,28.6,46.92,31.55,25.32,-5.22,-7.39,-14.77,128.96,225
632.21,632.2,28.41,46.69,31.34,25.12,-4.14,-5.85,-11.71,128.96,225
641.24,641.23,28.21,46.47,31.14,24.92,-4.85,-6.86,-13.71,128.96,225
650.28,650.26,28.02,46.24,30.93,24.73,-7.52,-10.63,-21.27,128.96,225
659.31,659.3,27.83,46,30.72,24.54,-11.04,-15.62,-31.23,128.96,225
668.34,668.33,27.66,45.75,30.52,24.36,-1.51,-2.13,-4.27,128.96,225
677.37,677.36,27.46,45.53,30.31,24.16,-15.03,-21.26,-42.52,128.96,225
686.4,686.39,27.28,45.29,30.11,23.98,-0.92,-1.31,-2.61,128.96,225
695.43,695.42,27.08,45.07,29.9,23.78,-6.43,-9.09,-18.19,128.96,225
704.47,704.45,26.88,44.85,29.7,23.58,-2.3,-3.25,-6.5,128.96,225
713.5,713.48,26.68,44.64,29.49,23.38,-6.08,-8.59,-17.19,128.96,225
722.53,722.52,26.49,44.41,29.29,23.18,-14.66,-20.73,-41.46,128.96,225
731.56,731.55,26.32,44.15,29.08,23.01,-15.37,-21.73,-43.46,128.96,225
740.59,740.58,26.15,43.87,28.87,22.84,-2.39,-3.39,-6.77,128.96,225
749.62,749.61,25.95,43.66,28.67,22.63,-6.57,-9.29,-18.59,128.96,225
758.65,758.64,25.76,43.43,28.46,22.44,-4.46,-6.31,-12.62,128.96,225
767.69,767.67,25.56,43.21,28.26,22.25,-4.93,-6.97,-13.94,128.96,225
776.72,776.71,25.37,42.98,28.05,22.05,-4.84,-6.85,-13.69,128.96,225
776.72,776.71,25.37,42.98,28.05,22.05,-1.63,-2.31,-4.62,127.32,225
785.85,785.83,25.18,42.77,27.85,21.86,-1.92,-2.71,-5.43,127.32,225
794.97,794.96,24.99,42.56,27.66,21.67,-4.52,-6.39,-12.78,127.32,225
804.1,804.09,24.81,42.33,27.46,21.49,-2.17,-3.07,-6.14,127.32,225
813.23,813.21,24.63,42.11,27.26,21.3,-0.37,-0.52,-1.04,127.32,225
822.35,822.34,24.44,41.91,27.07,21.11,-0.61,-0.86,-1.72,127.32,225
831.48,831.47,24.24,41.71,26.87,20.91,-4.49,-6.34,-12.69,127.32,225
840.61,840.59,24.05,41.49,26.67,20.72,-9.69,-13.7,-27.4,127.32,225
849.73,849.72,23.87,41.27,26.48,20.54,-4.75,-6.72,-13.44,127.32,225
858.86,858.85,23.7,41.03,26.28,20.37,-3.24,-4.58,-9.17,127.32,225
867.99,867.98,23.53,40.79,26.08,20.19,-1.83,-2.58,-5.17,127.32,225
877.11,877.1,23.34,40.58,25.88,20,-1.34,-1.9,-3.8,127.32,225
886.24,886.23,23.15,40.38,25.69,19.81,-0.76,-1.08,-2.15,127.32,225
895.37,895.36,22.96,40.16,25.49,19.62,-1.14,-1.62,-3.24,127.32,225
904.5,904.48,22.77,39.96,25.29,19.43,-2.07,-2.93,-5.85,127.32,225
913.62,913.61,22.58,39.75,25.1,19.24,-8.09,-11.43,-22.87,127.32,225
922.75,922.74,22.43,39.47,24.9,19.08,-6.32,-8.94,-17.87,127.32,225
931.88,931.86,22.27,39.2,24.7,18.92,-2.7,-3.82,-7.64,127.32,225
941,940.99,22.09,38.97,24.51,18.74,-3.59,-5.08,-10.16,127.32,225
950.13,950.12,21.92,38.73,24.31,18.56,-1.17,-1.65,-3.3,127.32,225
959.26,959.24,21.73,38.52,24.11,18.37,-2.66,-3.77,-7.53,127.32,225
968.38,968.37,21.55,38.3,23.92,18.18,-1.96,-2.78,-5.55,127.32,225
977.51,977.5,21.36,38.08,23.72,18,-5.15,-7.28,-14.55,127.32,225
986.64,986.62,21.19,37.84,23.52,17.82,-2.65,-3.75,-7.51,127.32,225
995.77,995.75,21.01,37.62,23.33,17.64,-10.3,-14.56,-29.13,127.32,225
1004.89,1004.88,20.87,37.33,23.13,17.48,-2.67,-3.77,-7.54,127.32,225
1014.02,1014,20.68,37.11,22.93,17.29,-5.6,-7.92,-15.83,127.32,225
