Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
2471.5,2218.77,-3.33,3.33,-6,-5.83,-16,-22.62,-45.25,127.32,225
2480.59,2218.78,-3.27,3.28,-6,-5.77,-16.35,-23.12,-46.23,127.32,225
2489.69,2218.78,-3.21,3.22,-6,-5.71,-15.63,-22.1,-44.2,127.32,225
2498.78,2218.78,-3.15,3.16,-6,-5.65,-14.97,-21.18,-42.35,127.32,225
2507.87,2218.79,-3.1,3.1,-6,-5.6,-16.57,-23.44,-46.88,127.32,225
2516.96,2218.8,-3.04,3.04,-6,-5.54,-15.43,-21.82,-43.63,127.32,225
2526.05,2218.82,-2.98,2.98,-6,-5.48,-16.13,-22.81,-45.62,127.32,225
2535.14,2218.83,-2.92,2.92,-6,-5.42,-16.71,-23.63,-47.25,127.32,225
2544.23,2218.83,-2.86,2.86,-6,-5.36,-16.22,-22.94,-45.88,127.32,225
2553.32,2218.82,-2.8,2.81,-6,-5.3,-14.77,-20.89,-41.78,127.32,225
2562.41,2218.83,-2.74,2.74,-6,-5.25,-17.16,-24.27,-48.54,127.32,225
2571.5,2218.83,-2.68,2.69,-6,-5.18,-14.99,-21.19,-42.39,127.32,225
2580.59,2218.83,-2.63,2.63,-6,-5.13,-15.7,-22.21,-44.42,127.32,225
2589.68,2218.85,-2.57,2.57,-6,-5.07,-16.96,-23.99,-47.97,127.32,225
2598.78,2218.86,-2.51,2.51,-6,-5.01,-15.55,-21.99,-43.98,127.32,225
2607.87,2218.85,-2.45,2.45,-6,-4.95,-16.94,-23.96,-47.91,127.32,225
2616.96,2218.85,-2.39,2.39,-6,-4.89,-15.19,-21.48,-42.96,127.32,225
2626.05,2218.84,-2.33,2.33,-6,-4.83,-15.9,-22.48,-44.96,127.32,225
2635.14,2218.84,-2.27,2.28,-6,-4.77,-15.72,-22.22,-44.45,127.32,225
2644.23,2218.84,-2.21,2.22,-6,-4.71,-16.29,-23.03,-46.07,127.32,225
2653.32,2218.84,-2.15,2.16,-6,-4.65,-15.56,-22.01,-44.02,127.32,225
2662.41,2218.82,-2.09,2.1,-6,-4.59,-15.95,-22.55,-45.1,127.32,225
2671.5,2218.81,-2.04,2.04,-6,-4.54,-14.61,-20.66,-41.33,127.32,225
2680.59,2218.82,-1.98,1.98,-6,-4.48,-16.45,-23.26,-46.53,127.32,225
2689.68,2218.84,-1.92,1.92,-6,-4.42,-17.43,-24.65,-49.31,127.32,225
2698.78,2218.84,-1.86,1.86,-6,-4.36,-16,-22.63,-45.25,127.32,225
2707.87,2218.83,-1.8,1.81,-6,-4.3,-14.61,-20.66,-41.32,127.32,225
2716.96,2218.83,-1.74,1.75,-6,-4.24,-16.5,-23.33,-46.65,127.32,225
2726.05,2218.84,-1.68,1.69,-6,-4.18,-15.44,-21.84,-43.68,127.32,225
2735.14,2218.85,-1.63,1.63,-6,-4.13,-16.01,-22.64,-45.27,127.32,225
2744.23,2218.86,-1.57,1.57,-6,-4.07,-16.29,-23.04,-46.08,127.32,225
2753.32,2218.87,-1.51,1.51,-6,-4.01,-15.2,-21.49,-42.98,127.32,225
2762.41,2218.88,-1.45,1.45,-6,-3.95,-16.29,-23.04,-46.08,127.32,225
2771.5,2218.89,-1.39,1.39,-6,-3.89,-17.07,-24.14,-48.28,127.32,225
2780.59,2218.89,-1.33,1.33,-6,-3.83,-15.48,-21.89,-43.78,127.32,225
2789.68,2218.88,-1.27,1.28,-6,-3.77,-15.24,-21.55,-43.09,127.32,225
2798.78,2218.88,-1.21,1.22,-6,-3.72,-15.91,-22.5,-44.99,127.32,225
2807.87,2218.89,-1.16,1.16,-6,-3.66,-16.31,-23.07,-46.13,127.32,225
2816.96,2218.89,-1.1,1.1,-6,-3.6,-15.03,-21.25,-42.51,127.32,225
2826.05,2218.9,-1.04,1.04,-6,-3.54,-17.51,-24.76,-49.52,127.32,225
2835.14,2218.9,-0.98,0.98,-6,-3.48,-15.34,-21.69,-43.38,127.32,225
2844.23,2218.9,-0.92,0.92,-6,-3.42,-15.29,-21.62,-43.23,127.32,225
2853.32,2218.91,-0.86,0.86,-6,-3.36,-18.81,-26.6,-53.19,127.32,225
2862.41,2218.91,-0.8,0.8,-6,-3.3,-15.43,-21.82,-43.64,127.32,225
2871.5,2218.88,-0.74,0.75,-6,-3.24,-14.87,-21.02,-42.05,127.32,225
2880.59,2218.89,-0.68,0.69,-6,-3.19,-15.76,-22.28,-44.57,127.32,225
2889.68,2218.89,-0.63,0.63,-6,-3.13,-15.12,-21.38,-42.75,127.32,225
2898.78,2218.91,-0.57,0.57,-6,-3.07,-15.12,-21.38,-42.75,127.32,225
2898.78,2218.91,-0.57,0.57,-6,-3.07,-75.4,-106.63,-213.26,627.08,225
2904,2218.91,-0.45,0.45,-6,-2.95,-64.6,-91.35,-182.7,627.08,225
2909.22,2218.91,-0.34,0.34,-6,-2.84,-64.6,-91.35,-182.7,627.08,225
2909.22,2218.91,-0.34,0.34,-6,-2.84,-65.02,-91.94,-183.88,627.08,225
2918.32,2218.91,-0.13,0.13,-6,-2.63,-65.02,-91.94,-183.88,627.08,225
2918.32,2218.91,-0.13,0.13,-6,-2.63,-38.84,-54.93,-109.85,611.33,225
2919.84,2218.91,-0.12,0.12,-6,-2.62,-38.84,-54.93,-109.85,611.33,225
2919.84,2218.91,-0.12,0.12,-6,-2.62,-53.63,-75.85,-151.69,669.24,225
2920.75,2218.91,-0.1,0.1,-6,-2.6,-53.63,-75.85,-151.69,669.24,225
2920.75,2218.91,-0.1,0.1,-6,-2.6,-49.42,-69.89,-139.79,511.4,225
2928,2218.91,0,0,-6,-2.5,-49.42,-69.89,-139.79,511.4,225
