MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
2260,61.925,21.223,2205.137,2187.769,176.614,66.402,5089631.114,9691490.092,4.713,188.67,88.9,57.2,9.45,1.219,127,57.2,40.21,0.3,55
2260.1,61.94,21.22,2205.184,2187.816,176.696,66.434,5089631.196,9691490.124,4.713,188.76,88.9,57.2,9.45,1.219,127,57.2,40.21,0.3,55
2269.7,63.87,21.44,2209.556,2192.188,184.657,69.542,5089639.157,9691493.232,6.062,197.31,120.65,50.8,10.058,1.219,127,57.2,73.84,0.3,110
2270,63.93,21.447,2209.688,2192.32,184.908,69.641,5089639.408,9691493.331,6.032,197.57,120.65,50.8,10.058,1.219,127,57.2,73.84,0.3,110
2279.3,65.79,21.66,2213.639,2196.271,192.738,72.734,5089647.238,9691496.424,6.032,205.99,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.3,55
2280,65.943,21.663,2213.925,2196.557,193.331,72.969,5089647.831,9691496.659,6.538,206.63,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.3,55
2288.8,67.86,21.7,2217.377,2200.009,200.853,75.96,5089655.353,9691499.65,6.538,214.72,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.3,55
2290,68.082,21.591,2217.827,2200.459,201.887,76.37,5089656.387,9691500.06,6.1,215.83,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.3,55
2298.4,69.64,20.84,2220.857,2203.489,209.19,79.205,5089663.69,9691502.895,6.1,223.66,88.9,57.15,9.14,1.219,120.65,58.75,34.53,0.3,55
2300,69.93,20.781,2221.41,2204.041,210.594,79.738,5089665.094,9691503.428,5.534,225.17,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2308,71.38,20.49,2224.059,2206.691,217.658,82.399,5089672.158,9691506.089,5.534,232.71,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2310,71.677,20.327,2224.693,2207.325,219.436,83.06,5089673.936,9691506.75,5.018,234.61,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2317.5,72.79,19.72,2226.982,2209.614,226.146,85.505,5089680.646,9691509.195,5.018,241.75,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2320,73.183,19.501,2227.713,2210.345,228.398,86.308,5089682.898,9691509.998,5.349,244.14,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2326.9,74.27,18.9,2229.647,2212.279,234.653,88.486,5089689.153,9691512.176,5.349,250.77,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
2330,74.661,19.023,2230.477,2213.109,237.478,89.456,5089691.978,9691513.146,3.951,253.75,88.9,66.09,9.144,0.469,119.86,53.98,25.12,0.3,105
