MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
0,0,0,-76.517,0,0,0,5291062.79,10285019.88,0,0,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
40,0,0,-36.517,40,0,0,5291062.79,10285019.88,0,0,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
50,0.833,0.349,-26.517,50,0.073,0,5291062.863,10285019.88,2.5,0.07,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
60,1.667,0.349,-16.52,59.997,0.291,0.002,5291063.081,10285019.882,2.5,0.29,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
70,2.5,0.349,-6.526,69.99,0.654,0.004,5291063.444,10285019.884,2.5,0.65,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
80,3.333,0.349,3.461,79.977,1.163,0.007,5291063.953,10285019.887,2.5,1.16,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
90,4.167,0.349,13.439,89.956,1.817,0.011,5291064.607,10285019.891,2.5,1.82,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
100,5,0.349,23.407,99.924,2.616,0.016,5291065.406,10285019.896,2.5,2.62,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
110,5.833,0.349,33.362,109.879,3.56,0.022,5291066.35,10285019.902,2.5,3.56,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
120,6.667,0.349,43.303,119.82,4.649,0.028,5291067.439,10285019.908,2.5,4.65,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
130,7.5,0.349,53.226,129.743,5.882,0.036,5291068.672,10285019.916,2.5,5.88,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
140,8.333,0.349,63.131,139.648,7.259,0.044,5291070.049,10285019.924,2.5,7.26,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
150,9.167,0.349,73.015,149.531,8.78,0.053,5291071.57,10285019.933,2.5,8.78,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
160,10,0.349,82.875,159.392,10.445,0.064,5291073.235,10285019.944,2.5,10.45,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
170,10.833,0.349,92.71,169.227,12.253,0.075,5291075.043,10285019.955,2.5,12.25,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
170.44,10.87,0.349,93.142,169.659,12.336,0.075,5291075.126,10285019.955,2.5,12.34,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
173,10.87,0.349,95.656,172.173,12.819,0.078,5291075.609,10285019.958,0,12.82,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
180,12.737,0.349,102.508,179.025,14.251,0.087,5291077.041,10285019.967,8,14.25,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
190,15.403,0.349,112.207,188.724,16.681,0.102,5291079.471,10285019.982,8,16.68,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
200,18.07,0.349,121.783,198.299,19.561,0.119,5291082.351,10285019.999,8,19.56,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
210,20.737,0.35,131.214,207.731,22.883,0.139,5291085.673,10285020.019,8,22.88,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
220,23.403,0.35,140.48,216.997,26.64,0.162,5291089.43,10285020.042,8,26.64,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
230,26.07,0.35,149.562,226.079,30.824,0.188,5291093.614,10285020.068,8,30.82,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
240,28.737,0.35,158.439,234.956,35.426,0.216,5291098.216,10285020.096,8,35.43,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
250,31.403,0.35,167.092,243.609,40.436,0.246,5291103.226,10285020.126,8,40.44,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
260,34.07,0.35,175.503,252.02,45.843,0.28,5291108.633,10285020.16,8,45.84,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
270,36.737,0.35,183.653,260.17,51.636,0.315,5291114.426,10285020.195,8,51.64,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
280,39.403,0.35,191.525,268.042,57.801,0.353,5291120.591,10285020.233,8,57.8,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
290,42.07,0.35,199.102,275.618,64.326,0.392,5291127.116,10285020.272,8,64.33,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
300,44.737,0.35,206.366,282.883,71.197,0.434,5291133.987,10285020.314,8,71.2,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
304.738,46,0.35,209.695,286.211,74.568,0.455,5291137.358,10285020.335,8,74.57,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
310,46.263,0.35,213.341,289.858,78.362,0.478,5291141.152,10285020.358,1.5,78.36,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
320,46.763,0.35,220.223,296.74,85.617,0.522,5291148.407,10285020.402,1.5,85.62,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
324.738,47,0.35,223.461,299.978,89.075,0.544,5291151.865,10285020.424,1.5,89.07,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
330,48.528,0.376,226.999,303.516,92.971,0.568,5291155.761,10285020.448,8.71,92.97,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
340,51.431,0.422,233.429,309.946,100.628,0.622,5291163.418,10285020.502,8.71,100.63,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
350,54.334,0.465,239.463,315.979,108.601,0.684,5291171.391,10285020.564,8.71,108.6,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
360,57.237,0.505,245.085,321.602,116.869,0.754,5291179.659,10285020.634,8.71,116.87,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
370,60.14,0.542,250.281,326.798,125.412,0.832,5291188.202,10285020.712,8.71,125.41,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
380,63.043,0.577,255.038,331.555,134.206,0.918,5291196.996,10285020.798,8.71,134.21,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
390,65.946,0.611,259.344,335.861,143.23,1.011,5291206.02,10285020.891,8.71,143.23,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
400,68.849,0.643,263.187,339.704,152.46,1.112,5291215.25,10285020.992,8.71,152.46,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
410,71.752,0.673,266.558,343.074,161.873,1.22,5291224.663,10285021.1,8.71,161.88,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
420,74.655,0.703,269.447,345.964,171.445,1.335,5291234.235,10285021.215,8.71,171.45,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
430,77.558,0.732,271.848,348.365,181.151,1.457,5291243.941,10285021.337,8.71,181.15,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
440,80.461,0.76,273.754,350.271,190.965,1.585,5291253.755,10285021.465,8.71,190.97,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
450,83.364,0.788,275.161,351.678,200.864,1.718,5291263.654,10285021.598,8.71,200.87,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
460,86.267,0.815,276.064,352.581,210.821,1.858,5291273.611,10285021.738,8.71,210.83,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.25,105
470,89.17,0.842,276.462,352.979,220.811,2.002,5291283.601,10285021.882,8.71,220.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
472.859,90,0.85,276.483,353,223.669,2.044,5291286.459,10285021.924,8.71,223.68,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
480,90,0.85,276.483,353,230.81,2.15,5291293.6,10285022.03,0,230.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
490,90,0.85,276.483,353,240.809,2.299,5291303.599,10285022.179,0,240.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
500,90,0.85,276.483,353,250.808,2.447,5291313.598,10285022.327,0,250.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
510,90,0.85,276.483,353,260.806,2.595,5291323.596,10285022.475,0,260.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
520,90,0.85,276.483,353,270.805,2.744,5291333.595,10285022.624,0,270.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
530,90,0.85,276.483,353,280.804,2.892,5291343.594,10285022.772,0,280.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
540,90,0.85,276.483,353,290.803,3.04,5291353.593,10285022.92,0,290.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
550,90,0.85,276.483,353,300.802,3.189,5291363.592,10285023.069,0,300.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
560,90,0.85,276.483,353,310.801,3.337,5291373.591,10285023.217,0,310.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
570,90,0.85,276.483,353,320.8,3.485,5291383.59,10285023.365,0,320.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
580,90,0.85,276.483,353,330.799,3.634,5291393.589,10285023.514,0,330.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
590,90,0.85,276.483,353,340.798,3.782,5291403.588,10285023.662,0,340.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
600,90,0.85,276.483,353,350.797,3.93,5291413.587,10285023.81,0,350.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
610,90,0.85,276.483,353,360.795,4.079,5291423.585,10285023.959,0,360.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
620,90,0.85,276.483,353,370.794,4.227,5291433.584,10285024.107,0,370.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
630,90,0.85,276.483,353,380.793,4.375,5291443.583,10285024.255,0,380.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
640,90,0.85,276.483,353,390.792,4.524,5291453.582,10285024.404,0,390.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
650,90,0.85,276.483,353,400.791,4.672,5291463.581,10285024.552,0,400.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
660,90,0.85,276.483,353,410.79,4.82,5291473.58,10285024.7,0,410.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
670,90,0.85,276.483,353,420.789,4.969,5291483.579,10285024.849,0,420.82,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
680,90,0.85,276.483,353,430.788,5.117,5291493.578,10285024.997,0,430.82,88.9,57.15,9.144,1.219,120.65,58.75,34.53,0.3,55
690,90,0.85,276.483,353,440.787,5.265,5291503.577,10285025.145,0,440.82,88.9,57.15,9.144,1.219,120.65,58.75,34.53,0.3,55
700,90,0.85,276.483,353,450.786,5.414,5291513.576,10285025.294,0,450.82,88.9,57.15,9.144,1.219,120.65,58.75,34.53,0.3,55
710,90,0.85,276.483,353,460.784,5.562,5291523.574,10285025.442,0,460.82,120,31,10.18,1.219,120.65,58.75,79.96,0.3,110
720,90,0.85,276.483,353,470.783,5.711,5291533.573,10285025.591,0,470.82,88.9,57.15,9.144,1.219,120.65,58.75,34.53,0.3,55
730,90,0.85,276.483,353,480.782,5.859,5291543.572,10285025.739,0,480.82,120.65,31.75,1.5,1.219,120.65,58.75,71.6,0.3,110
740,90,0.85,276.483,353,490.781,6.007,5291553.571,10285025.887,0,490.82,120.65,40.64,10.44,1.219,120.65,58.75,85.87,0.3,110
750,90,0.85,276.483,353,500.78,6.156,5291563.57,10285026.036,0,500.82,120.65,40.64,9.1,1.219,120.65,58.75,85.87,0.3,110
760,90,0.85,276.483,353,510.779,6.304,5291573.569,10285026.184,0,510.82,120.65,63.5,7,1.219,120.65,58.75,57.37,0.3,110
768.954,90,0.85,276.483,353,519.732,6.437,5291582.522,10285026.317,0,519.77,152.4,63.5,0.25,1.219,120.65,58.75,100,0.3,110
