Глубина по стволу,Глубина по вертикали,Спуск,Подъём,Бурение ротором,Бурение ГЗД,Синусоидальный изгиб(все операции),Спиральный изгиб(с вращением),Спиральный изгиб(без вращения),Предел натяжения,Грузоподъёмность вышки
566.96,353.27,-1.88,2.02,-4.92,-3.89,-16.43,-23.23,-46.46,109.72,225
576.01,353.49,-1.82,1.96,-4.93,-3.84,-15.23,-21.53,-43.07,109.72,225
585.05,353.71,-1.77,1.89,-4.93,-3.78,-15.23,-21.53,-43.07,109.72,225
594.1,353.92,-1.72,1.83,-4.94,-3.73,-17.61,-24.9,-49.8,109.72,225
603.15,354.14,-1.66,1.77,-4.94,-3.67,-23.98,-33.91,-67.83,109.72,225
612.2,354.28,-1.6,1.71,-4.94,-3.6,-23.98,-33.92,-67.83,109.72,225
621.24,354.33,-1.54,1.66,-4.94,-3.53,-23.4,-33.09,-66.17,109.72,225
630.29,354.3,-1.48,1.61,-4.94,-3.46,-13.5,-19.1,-38.19,109.72,225
639.34,354.25,-1.42,1.55,-4.94,-3.41,-13.5,-19.1,-38.19,109.72,225
648.39,354.26,-1.36,1.48,-4.94,-3.36,-13.5,-19.1,-38.19,109.72,225
657.43,354.31,-1.31,1.42,-4.94,-3.31,-14.54,-20.56,-41.11,109.72,225
666.48,354.41,-1.25,1.36,-4.95,-3.25,-15.08,-21.33,-42.65,109.72,225
675.53,354.51,-1.2,1.3,-4.95,-3.2,-15.08,-21.33,-42.65,109.72,225
675.53,354.51,-1.2,1.3,-4.95,-3.2,-20.22,-28.59,-57.17,112.66,225
684.53,354.62,-1.12,1.22,-4.95,-3.12,-19.07,-26.96,-53.93,112.66,225
693.53,354.72,-1.04,1.13,-4.95,-3.05,-17.89,-25.3,-50.61,112.66,225
702.53,354.89,-0.97,1.05,-4.96,-2.98,-17.89,-25.3,-50.6,112.66,225
711.53,355.11,-0.9,0.96,-4.97,-2.91,-17.89,-25.3,-50.6,112.66,225
711.53,355.11,-0.9,0.96,-4.97,-2.91,-51.95,-73.46,-146.93,653.04,225
716.62,355.26,-0.81,0.84,-4.98,-2.82,-59.14,-83.63,-167.27,653.04,225
721.71,355.43,-0.72,0.73,-4.99,-2.73,-59.14,-83.64,-167.27,653.04,225
721.71,355.43,-0.72,0.73,-4.99,-2.73,-36.69,-51.88,-103.76,112.66,225
730.71,355.66,-0.64,0.65,-5,-2.65,-36.69,-51.89,-103.77,112.66,225
739.71,355.78,-0.56,0.56,-5,-2.56,-36.69,-51.89,-103.78,112.66,225
739.71,355.78,-0.56,0.56,-5,-2.56,-128.38,-181.55,-363.09,658.35,225
741.21,355.79,-0.54,0.54,-5,-2.53,-128.38,-181.55,-363.09,658.35,225
741.21,355.79,-0.54,0.54,-5,-2.53,-131.78,-186.35,-372.7,627.08,225
746.43,355.8,-0.42,0.42,-5,-2.41,-83.01,-117.39,-234.78,627.08,225
751.65,355.77,-0.3,0.31,-5,-2.29,-83.01,-117.39,-234.78,627.08,225
751.65,355.77,-0.3,0.31,-5,-2.29,-76.56,-108.27,-216.54,627.08,225
760.75,355.78,-0.1,0.11,-5,-2.09,-76.56,-108.27,-216.53,627.08,225
760.75,355.78,-0.1,0.11,-5,-2.09,-63.72,-90.11,-180.22,511.4,225
768,355.86,0,0,-5,-2,-63.72,-90.11,-180.21,511.4,225
