MD,Incl.,Azim.,Sub-Sea,TVD,Local N Coord,Local E Coord,Global N Coord,Global E Coord,Dogleg,Vertical Section,Body_OD,Body_ID,Body_AvgJointLength,Stabilizer_Length,Stabilizer_OD,Stabilizer_ID,Weight,Coefficient of Friction,Minimum Yield Stress
0.000     ,0.000     ,0.000     ,17.490    ,0.000      ,0.000      ,0.000      ,5234587.020  ,9498011.390  ,0.000  ,0.00     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
195.600   ,0.000     ,360.000   ,213.090   ,195.600    ,0.000      ,0.000      ,5234587.020  ,9498011.390  ,0.000  ,0.00     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
200.000   ,0.763     ,303.748   ,217.490   ,200.000    ,0.016      ,-0.024     ,5234587.036  ,9498011.366  ,5.200  ,0.03     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
210.000   ,2.496     ,303.748   ,227.485   ,209.995    ,0.174      ,-0.261     ,5234587.194  ,9498011.129  ,5.200  ,0.30     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
220.000   ,4.229     ,303.748   ,237.468   ,219.978    ,0.500      ,-0.748     ,5234587.520  ,9498010.642  ,5.200  ,0.87     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
230.000   ,5.963     ,303.748   ,247.428   ,229.938    ,0.994      ,-1.487     ,5234588.014  ,9498009.903  ,5.200  ,1.74     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
240.000   ,7.696     ,303.748   ,257.357   ,239.867    ,1.654      ,-2.476     ,5234588.674  ,9498008.914  ,5.200  ,2.89     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
250.000   ,9.429     ,303.748   ,267.245   ,249.755    ,2.481      ,-3.714     ,5234589.501  ,9498007.676  ,5.200  ,4.34     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
260.000   ,11.163    ,303.748   ,277.083   ,259.593    ,3.474      ,-5.200     ,5234590.494  ,9498006.190  ,5.200  ,6.08     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
270.000   ,12.896    ,303.748   ,286.863   ,269.373    ,4.632      ,-6.933     ,5234591.652  ,9498004.457  ,5.200  ,8.10     ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
280.000   ,14.629    ,303.748   ,296.576   ,279.086    ,5.953      ,-8.911     ,5234592.973  ,9498002.479  ,5.200  ,10.42,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
290.000   ,16.363    ,303.748   ,306.212   ,288.722    ,7.438      ,-11.132    ,5234594.458  ,9498000.258  ,5.200  ,13.01,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
300.000   ,18.096    ,303.748   ,315.763   ,298.273    ,9.083      ,-13.595    ,5234596.103  ,9497997.795  ,5.200  ,15.89    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
310.000   ,19.829    ,303.748   ,325.220   ,307.730    ,10.888     ,-16.297    ,5234597.908  ,9497995.093  ,5.200  ,19.05,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
320.000   ,21.563    ,303.748   ,334.574   ,317.084    ,12.852     ,-19.235    ,5234599.872  ,9497992.155  ,5.200  ,22.48    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
330.000   ,23.296    ,303.748   ,343.817   ,326.327    ,14.971     ,-22.407    ,5234601.991  ,9497988.983  ,5.200  ,26.19    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
340.000   ,25.029    ,303.748   ,352.941   ,335.451    ,17.245     ,-25.811    ,5234604.265  ,9497985.579  ,5.200  ,30.17    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
350.000   ,26.763    ,303.748   ,361.936   ,344.446    ,19.671     ,-29.442    ,5234606.691  ,9497981.948  ,5.200  ,34.42    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
360.000   ,28.496    ,303.748   ,370.796   ,353.306    ,22.247     ,-33.298    ,5234609.267  ,9497978.092  ,5.200  ,38.92    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
370.000   ,30.229    ,303.748   ,379.511   ,362.021    ,24.971     ,-37.375    ,5234611.991  ,9497974.015  ,5.200  ,43.69    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
380.000   ,31.963    ,303.748   ,388.073   ,370.583    ,27.841     ,-41.669    ,5234614.861  ,9497969.721  ,5.200  ,48.71    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
390.000   ,33.696    ,303.748   ,396.476   ,378.986    ,30.852     ,-46.177    ,5234617.872  ,9497965.213  ,5.200  ,53.98    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
400.000   ,35.429    ,303.748   ,404.711   ,387.221    ,34.004     ,-50.894    ,5234621.024  ,9497960.496  ,5.200  ,59.49    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
410.000   ,37.163    ,303.748   ,412.770   ,395.280    ,37.292     ,-55.816    ,5234624.312  ,9497955.574  ,5.200  ,65.24    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
420.000   ,38.896    ,303.748   ,420.647   ,403.157    ,40.715     ,-60.938    ,5234627.735  ,9497950.452  ,5.200  ,71.23    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
426.369   ,40.000    ,303.748   ,425.565   ,408.075    ,42.963     ,-64.303    ,5234629.983  ,9497947.087  ,5.200  ,75.16    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
430.000   ,40.242    ,303.749   ,428.341   ,410.851    ,44.263     ,-66.248    ,5234631.283  ,9497945.142  ,2.000  ,77.44    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
440.000   ,40.909    ,303.749   ,435.937   ,418.447    ,47.876     ,-71.656    ,5234634.896  ,9497939.734  ,2.000  ,83.76    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
445.869   ,41.300    ,303.750   ,440.360   ,422.870    ,50.020     ,-74.865    ,5234637.040  ,9497936.525  ,2.000  ,87.51    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
450.000   ,42.273    ,303.750   ,443.439   ,425.949    ,51.549     ,-77.153    ,5234638.569  ,9497934.237  ,7.070  ,90.19    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
460.000   ,44.630    ,303.750   ,450.699   ,433.209    ,55.370     ,-82.871    ,5234642.390  ,9497928.519  ,7.070  ,96.87    ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
470.000   ,46.987    ,303.749   ,457.669   ,440.179    ,59.353     ,-88.833    ,5234646.373  ,9497922.557  ,7.070  ,103.84   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
480.000   ,49.343    ,303.749   ,464.338   ,446.848    ,63.492     ,-95.027    ,5234650.512  ,9497916.363  ,7.070  ,111.08   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
490.000   ,51.700    ,303.749   ,470.695   ,453.205    ,67.780     ,-101.445   ,5234654.800  ,9497909.945  ,7.070  ,118.58   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
500.000   ,54.057    ,303.749   ,476.730   ,459.240    ,72.209     ,-108.074   ,5234659.229  ,9497903.316  ,7.070  ,126.33   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
510.000   ,56.413    ,303.749   ,482.432   ,464.942    ,76.773     ,-114.904   ,5234663.793  ,9497896.486  ,7.070  ,134.31   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
520.000   ,58.770    ,303.749   ,487.791   ,470.301    ,81.463     ,-121.924   ,5234668.483  ,9497889.466  ,7.070  ,142.52   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
530.000   ,61.127    ,303.748   ,492.798   ,475.308    ,86.271     ,-129.120   ,5234673.291  ,9497882.270  ,7.070  ,150.93   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
540.000   ,63.483    ,303.748   ,497.446   ,479.956    ,91.190     ,-136.482   ,5234678.210  ,9497874.908  ,7.070  ,159.54   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
550.000   ,65.840    ,303.748   ,501.725   ,484.235    ,96.210     ,-143.997   ,5234683.230  ,9497867.393  ,7.070  ,168.32   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
560.000   ,68.197    ,303.748   ,505.629   ,488.139    ,101.324    ,-151.651   ,5234688.344  ,9497859.739  ,7.070  ,177.27   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
570.000   ,70.553    ,303.748   ,509.151   ,491.661    ,106.523    ,-159.432   ,5234693.543  ,9497851.958  ,7.070  ,186.36   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
580.000   ,72.910    ,303.748   ,512.286   ,494.796    ,111.798    ,-167.328   ,5234698.818  ,9497844.062  ,7.070  ,195.59   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
590.000   ,75.267    ,303.748   ,515.027   ,497.537    ,117.141    ,-175.323   ,5234704.161  ,9497836.067  ,7.070  ,204.94   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
600.000   ,77.623    ,303.747   ,517.371   ,499.881    ,122.541    ,-183.406   ,5234709.561  ,9497827.984  ,7.070  ,214.39   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
610.000   ,79.980    ,303.747   ,519.312   ,501.822    ,127.990    ,-191.562   ,5234715.010  ,9497819.828  ,7.070  ,223.92   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
620.000   ,82.337    ,303.747   ,520.849   ,503.359    ,133.479    ,-199.778   ,5234720.499  ,9497811.612  ,7.070  ,233.52   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
630.000   ,84.693    ,303.747   ,521.979   ,504.489    ,138.998    ,-208.039   ,5234726.018  ,9497803.351  ,7.070  ,243.18   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
640.000   ,87.050    ,303.747   ,522.698   ,505.208    ,144.539    ,-216.332   ,5234731.559  ,9497795.058  ,7.070  ,252.87   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.25,105
649.122   ,89.200    ,303.747   ,522.997   ,505.507    ,149.603    ,-223.913   ,5234736.623  ,9497787.477  ,7.070  ,261.73   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
650.000   ,89.200    ,303.864   ,523.009   ,505.519    ,150.092    ,-224.642   ,5234737.112  ,9497786.748  ,4.000  ,262.59   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
660.000   ,89.197    ,305.197   ,523.149   ,505.659    ,155.759    ,-232.879   ,5234742.779  ,9497778.511  ,4.000  ,272.34   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
670.000   ,89.195    ,306.531   ,523.289   ,505.799    ,161.617    ,-240.982   ,5234748.637  ,9497770.408  ,4.000  ,282.14   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
680.000   ,89.193    ,307.864   ,523.430   ,505.940    ,167.662    ,-248.947   ,5234754.682  ,9497762.443  ,4.000  ,291.98   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
690.000   ,89.191    ,309.198   ,523.571   ,506.081    ,173.891    ,-256.768   ,5234760.911  ,9497754.622  ,4.000  ,301.86   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
700.000   ,89.190    ,310.531   ,523.712   ,506.222    ,180.300    ,-264.443   ,5234767.320  ,9497746.947  ,4.000  ,311.77   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
710.000   ,89.190    ,311.865   ,523.854   ,506.364    ,186.886    ,-271.967   ,5234773.906  ,9497739.423  ,4.000  ,321.71   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
720.000   ,89.189    ,313.198   ,523.995   ,506.505    ,193.645    ,-279.335   ,5234780.665  ,9497732.055  ,4.000  ,331.68   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
730.000   ,89.190    ,314.532   ,524.137   ,506.647    ,200.574    ,-286.544   ,5234787.594  ,9497724.846  ,4.000  ,341.66   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
740.000   ,89.190    ,315.865   ,524.278   ,506.788    ,207.668    ,-293.589   ,5234794.688  ,9497717.801  ,4.000  ,351.65   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
750.000   ,89.192    ,317.199   ,524.419   ,506.929    ,214.925    ,-300.468   ,5234801.945  ,9497710.922  ,4.000  ,361.65   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
760.000   ,89.193    ,318.532   ,524.560   ,507.070    ,222.340    ,-307.176   ,5234809.360  ,9497704.214  ,4.000  ,371.64   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
770.000   ,89.195    ,319.866   ,524.701   ,507.211    ,229.909    ,-313.709   ,5234816.929  ,9497697.681  ,4.000  ,381.64   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
780.000   ,89.198    ,321.199   ,524.841   ,507.351    ,237.627    ,-320.065   ,5234824.647  ,9497691.325  ,4.000  ,391.62   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
787.866   ,89.200    ,322.248   ,524.951   ,507.461    ,243.802    ,-324.937   ,5234830.822  ,9497686.453  ,4.000  ,399.46   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
790.000   ,89.200    ,322.248   ,524.981   ,507.491    ,245.489    ,-326.244   ,5234832.509  ,9497685.146  ,0.000  ,401.59   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
800.000   ,89.200    ,322.248   ,525.121   ,507.631    ,253.395    ,-332.366   ,5234840.415  ,9497679.024  ,0.000  ,411.55   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
810.000   ,89.193    ,322.248   ,525.261   ,507.771    ,261.301    ,-338.487   ,5234848.321  ,9497672.903  ,0.020  ,421.51   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
820.000   ,89.193    ,322.248   ,525.402   ,507.912    ,269.207    ,-344.609   ,5234856.227  ,9497666.781  ,0.000  ,431.48   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
830.000   ,89.187    ,322.248   ,525.544   ,508.054    ,277.113    ,-350.731   ,5234864.133  ,9497660.659  ,0.018  ,441.44   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
840.000   ,89.184    ,322.248   ,525.686   ,508.196    ,285.018    ,-356.853   ,5234872.038  ,9497654.537  ,0.009  ,451.40   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
850.000   ,89.184    ,322.248   ,525.829   ,508.339    ,292.924    ,-362.975   ,5234879.944  ,9497648.415  ,0.000  ,461.36   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
860.000   ,89.178    ,322.248   ,525.972   ,508.482    ,300.830    ,-369.097   ,5234887.850  ,9497642.293  ,0.018  ,471.33   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
870.000   ,89.175    ,322.248   ,526.116   ,508.626    ,308.736    ,-375.218   ,5234895.756  ,9497636.172  ,0.009  ,481.29   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
880.000   ,89.175    ,322.248   ,526.260   ,508.770    ,316.642    ,-381.340   ,5234903.662  ,9497630.050  ,0.000  ,491.25   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
890.000   ,89.169    ,322.248   ,526.404   ,508.914    ,324.548    ,-387.462   ,5234911.568  ,9497623.928  ,0.018  ,501.21   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
900.000   ,89.166    ,322.248   ,526.550   ,509.060    ,332.454    ,-393.584   ,5234919.474  ,9497617.806  ,0.009  ,511.18   ,101.6,82.3,9.144,0.433,137.32,76.2,26.41,0.3,105
910.000   ,89.166    ,322.248   ,526.695   ,509.205    ,340.360    ,-399.705   ,5234927.380  ,9497611.685  ,0.000  ,521.14   ,120.65,57.15,9.14,0.433,137.32,76.2,69.6,0.3,110
920.000   ,89.160    ,322.248   ,526.842   ,509.352    ,348.265    ,-405.827   ,5234935.285  ,9497605.563  ,0.018  ,531.10   ,120.65,57.15,9.14,0.433,137.32,76.2,69.6,0.3,110
930.000   ,89.157    ,322.248   ,526.989   ,509.499    ,356.171    ,-411.949   ,5234943.191  ,9497599.441  ,0.009  ,541.06   ,120.65,57.15,9.14,0.433,137.32,76.2,69.6,0.3,110
940.000   ,89.157    ,322.248   ,527.136   ,509.646    ,364.077    ,-418.071   ,5234951.097  ,9497593.319  ,0.000  ,551.03   ,120.65,50.8,10,0.433,137.32,76.2,73.84,0.3,110
950.000   ,89.151    ,322.248   ,527.284   ,509.794    ,371.983    ,-424.192   ,5234959.003  ,9497587.198  ,0.018  ,560.99   ,120.65,57.15,9.14,0.469,117.48,53.98,69.6,0.3,110
960.000   ,89.148    ,322.248   ,527.432   ,509.942    ,379.889    ,-430.314   ,5234966.909  ,9497581.076  ,0.009  ,570.95   ,120.65,57.15,9.14,0.469,117.48,53.98,69.6,0.3,110
970.000   ,89.148    ,322.248   ,527.581   ,510.091    ,387.795    ,-436.436   ,5234974.815  ,9497574.954  ,0.000  ,580.91   ,120.65,57.15,9.14,0.469,117.48,53.98,69.6,0.3,110
980.000   ,89.142    ,322.248   ,527.730   ,510.240    ,395.700    ,-442.558   ,5234982.720  ,9497568.832  ,0.018  ,590.88   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
990.000   ,89.139    ,322.248   ,527.880   ,510.390    ,403.606    ,-448.679   ,5234990.626  ,9497562.711  ,0.009  ,600.84   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1000.000  ,89.139    ,322.248   ,528.031   ,510.541    ,411.512    ,-454.801   ,5234998.532  ,9497556.589  ,0.000  ,610.80   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1010.000  ,89.133    ,322.248   ,528.182   ,510.692    ,419.418    ,-460.923   ,5235006.438  ,9497550.467  ,0.018  ,620.76   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1020.000  ,89.130    ,322.248   ,528.333   ,510.843    ,427.324    ,-467.044   ,5235014.344  ,9497544.346  ,0.009  ,630.73   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1030.000  ,89.130    ,322.248   ,528.485   ,510.995    ,435.230    ,-473.166   ,5235022.250  ,9497538.224  ,0.000  ,640.69   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1040.000  ,89.124    ,322.249   ,528.638   ,511.148    ,443.135    ,-479.288   ,5235030.155  ,9497532.102  ,0.018  ,650.65   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1050.000  ,89.121    ,322.249   ,528.791   ,511.301    ,451.041    ,-485.409   ,5235038.061  ,9497525.981  ,0.009  ,660.61   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
1060.000  ,89.121    ,322.249   ,528.945   ,511.455    ,458.947    ,-491.531   ,5235045.967  ,9497519.859  ,0.000  ,670.58   ,88.9,66.09,9.144,0.469,117.48,53.98,25.12,0.3,105
